MESEC	DAN V MESECU	Umrli
2001M01	22	74
2001M01	23	49
2001M01	24	44
2001M01	25	63
2001M01	26	55
2001M01	27	52
2001M01	28	58
2001M01	29	57
2001M01	30	57
2001M01	31	50
2001M02	1	60
2001M02	2	47
2001M02	3	51
2001M02	4	50
2001M02	5	60
2001M02	6	50
2001M02	7	55
2001M02	8	66
2001M02	9	46
2001M02	10	48
2001M02	11	60
2001M02	12	54
2001M02	13	45
2001M02	14	50
2001M02	15	49
2001M02	16	55
2001M02	17	59
2001M02	18	51
2001M02	19	61
2001M02	20	53
2001M02	21	55
2001M02	22	52
2001M02	23	55
2001M02	24	57
2001M02	25	53
2001M02	26	42
2001M02	27	63
2001M02	28	54
2001M02	29	-
2001M02	30	-
2001M02	31	-
2001M03	1	64
2001M03	2	63
2001M03	3	49
2001M03	4	59
2001M03	5	45
2001M03	6	50
2001M03	7	39
2001M03	8	55
2001M03	9	50
2001M03	10	64
2001M03	11	47
2001M03	12	68
2001M03	13	53
2001M03	14	45
2001M03	15	34
2001M03	16	41
2001M03	17	54
2001M03	18	39
2001M03	19	59
2001M03	20	49
2001M03	21	52
2001M03	22	41
2001M03	23	41
2001M03	24	54
2001M03	25	58
2001M03	26	58
2001M03	27	58
2001M03	28	47
2001M03	29	38
2001M03	30	54
2001M03	31	48
2001M04	1	45
2001M04	2	49
2001M04	3	52
2001M04	4	52
2001M04	5	38
2001M04	6	60
2001M04	7	42
2001M04	8	50
2001M04	9	58
2001M04	10	48
2001M04	11	58
2001M04	12	41
2001M04	13	48
2001M04	14	62
2001M04	15	47
2001M04	16	57
2001M04	17	54
2001M04	18	55
2001M04	19	45
2001M04	20	65
2001M04	21	45
2001M04	22	57
2001M04	23	53
2001M04	24	58
2001M04	25	56
2001M04	26	66
2001M04	27	51
2001M04	28	36
2001M04	29	58
2001M04	30	53
2001M04	31	-
2001M05	1	49
2001M05	2	50
2001M05	3	58
2001M05	4	49
2001M05	5	54
2001M05	6	50
2001M05	7	49
2001M05	8	46
2001M05	9	50
2001M05	10	49
2001M05	11	60
2001M05	12	49
2001M05	13	58
2001M05	14	54
2001M05	15	45
2001M05	16	45
2001M05	17	50
2001M05	18	49
2001M05	19	45
2001M05	20	46
2001M05	21	45
2001M05	22	47
2001M05	23	48
2001M05	24	53
2001M05	25	53
2001M05	26	55
2001M05	27	40
2001M05	28	54
2001M05	29	65
2001M05	30	74
2001M05	31	49
2001M06	1	56
2001M06	2	50
2001M06	3	42
2001M06	4	55
2001M06	5	48
2001M06	6	52
2001M06	7	38
2001M06	8	47
2001M06	9	37
2001M06	10	45
2001M06	11	62
2001M06	12	46
2001M06	13	44
2001M06	14	41
2001M06	15	60
2001M06	16	53
2001M06	17	51
2001M06	18	45
2001M06	19	51
2001M06	20	44
2001M06	21	58
2001M06	22	50
2001M06	23	42
2001M06	24	44
2001M06	25	42
2001M06	26	48
2001M06	27	44
2001M06	28	52
2001M06	29	44
2001M06	30	51
2001M06	31	-
2001M07	1	36
2001M07	2	50
2001M07	3	44
2001M07	4	49
2001M07	5	53
2001M07	6	66
2001M07	7	55
2001M07	8	57
2001M07	9	44
2001M07	10	47
2001M07	11	49
2001M07	12	46
2001M07	13	59
2001M07	14	44
2001M07	15	42
2001M07	16	57
2001M07	17	38
2001M07	18	38
2001M07	19	55
2001M07	20	42
2001M07	21	58
2001M07	22	38
2001M07	23	48
2001M07	24	55
2001M07	25	46
2001M07	26	49
2001M07	27	46
2001M07	28	43
2001M07	29	42
2001M07	30	62
2001M07	31	55
2001M08	1	66
2001M08	2	54
2001M08	3	50
2001M08	4	37
2001M08	5	44
2001M08	6	58
2001M08	7	54
2001M08	8	57
2001M08	9	49
2001M08	10	46
2001M08	11	50
2001M08	12	52
2001M08	13	45
2001M08	14	33
2001M08	15	49
2001M08	16	50
2001M08	17	47
2001M08	18	50
2001M08	19	46
2001M08	20	48
2001M08	21	55
2001M08	22	54
2001M08	23	38
2001M08	24	52
2001M08	25	49
2001M08	26	44
2001M08	27	38
2001M08	28	56
2001M08	29	55
2001M08	30	40
2001M08	31	49
2001M09	1	34
2001M09	2	40
2001M09	3	43
2001M09	4	49
2001M09	5	40
2001M09	6	37
2001M09	7	48
2001M09	8	40
2001M09	9	42
2001M09	10	51
2001M09	11	48
2001M09	12	46
2001M09	13	42
2001M09	14	56
2001M09	15	37
2001M09	16	49
2001M09	17	55
2001M09	18	62
2001M09	19	49
2001M09	20	52
2001M09	21	50
2001M09	22	49
2001M09	23	47
2001M09	24	64
2001M09	25	54
2001M09	26	57
2001M09	27	57
2001M09	28	51
2001M09	29	45
2001M09	30	62
2001M09	31	-
2001M10	1	46
2001M10	2	75
2001M10	3	46
2001M10	4	42
2001M10	5	61
2001M10	6	52
2001M10	7	50
2001M10	8	58
2001M10	9	46
2001M10	10	53
2001M10	11	51
2001M10	12	42
2001M10	13	38
2001M10	14	48
2001M10	15	50
2001M10	16	42
2001M10	17	50
2001M10	18	56
2001M10	19	42
2001M10	20	42
2001M10	21	41
2001M10	22	47
2001M10	23	53
2001M10	24	48
2001M10	25	45
2001M10	26	39
2001M10	27	40
2001M10	28	35
2001M10	29	51
2001M10	30	50
2001M10	31	41
2001M11	1	57
2001M11	2	32
2001M11	3	54
2001M11	4	57
2001M11	5	61
2001M11	6	54
2001M11	7	39
2001M11	8	57
2001M11	9	41
2001M11	10	38
2001M11	11	43
2001M11	12	54
2001M11	13	50
2001M11	14	66
2001M11	15	43
2001M11	16	63
2001M11	17	64
2001M11	18	69
2001M11	19	47
2001M11	20	47
2001M11	21	61
2001M11	22	45
2001M11	23	58
2001M11	24	46
2001M11	25	38
2001M11	26	48
2001M11	27	41
2001M11	28	47
2001M11	29	50
2001M11	30	70
2001M11	31	-
2001M12	1	48
2001M12	2	54
2001M12	3	49
2001M12	4	61
2001M12	5	52
2001M12	6	53
2001M12	7	38
2001M12	8	60
2001M12	9	44
2001M12	10	51
2001M12	11	54
2001M12	12	55
2001M12	13	53
2001M12	14	53
2001M12	15	60
2001M12	16	46
2001M12	17	59
2001M12	18	43
2001M12	19	49
2001M12	20	58
2001M12	21	59
2001M12	22	62
2001M12	23	65
2001M12	24	53
2001M12	25	65
2001M12	26	61
2001M12	27	59
2001M12	28	59
2001M12	29	48
2001M12	30	45
2001M12	31	65
2002M01	1	70
2002M01	2	75
2002M01	3	43
2002M01	4	50
2002M01	5	57
2002M01	6	63
2002M01	7	56
2002M01	8	72
2002M01	9	55
2002M01	10	62
2002M01	11	59
2002M01	12	63
2002M01	13	45
2002M01	14	58
2002M01	15	48
2002M01	16	61
2002M01	17	58
2002M01	18	59
2002M01	19	49
2002M01	20	48
2002M01	21	70
2002M01	22	61
2002M01	23	35
2002M01	24	57
2002M01	25	51
2002M01	26	57
2002M01	27	62
2002M01	28	54
2002M01	29	58
2002M01	30	60
2002M01	31	48
2002M02	1	49
2002M02	2	39
2002M02	3	48
2002M02	4	53
2002M02	5	59
2002M02	6	57
2002M02	7	56
2002M02	8	43
2002M02	9	50
2002M02	10	44
2002M02	11	35
2002M02	12	65
2002M02	13	54
2002M02	14	57
2002M02	15	61
2002M02	16	46
2002M02	17	46
2002M02	18	56
2002M02	19	55
2002M02	20	46
2002M02	21	48
2002M02	22	47
2002M02	23	47
2002M02	24	49
2002M02	25	42
2002M02	26	58
2002M02	27	57
2002M02	28	53
2002M02	29	-
2002M02	30	-
2002M02	31	-
2002M03	1	63
2002M03	2	52
2002M03	3	52
2002M03	4	67
2002M03	5	49
2002M03	6	46
2002M03	7	52
2002M03	8	57
2002M03	9	42
2002M03	10	50
2002M03	11	52
2002M03	12	47
2002M03	13	62
2002M03	14	55
2002M03	15	50
2002M03	16	51
2002M03	17	54
2002M03	18	52
2002M03	19	48
2002M03	20	57
2002M03	21	55
2002M03	22	66
2002M03	23	34
2002M03	24	58
2002M03	25	51
2002M03	26	41
2002M03	27	42
2002M03	28	44
2002M03	29	34
2002M03	30	39
2002M03	31	52
2002M04	1	64
2002M04	2	52
2002M04	3	62
2002M04	4	47
2002M04	5	66
2002M04	6	60
2002M04	7	57
2002M04	8	66
2002M04	9	46
2002M04	10	48
2002M04	11	59
2002M04	12	54
2002M04	13	53
2002M04	14	53
2002M04	15	55
2002M04	16	48
2002M04	17	40
2002M04	18	44
2002M04	19	49
2002M04	20	50
2002M04	21	45
2002M04	22	53
2002M04	23	56
2002M04	24	50
2002M04	25	43
2002M04	26	43
2002M04	27	51
2002M04	28	46
2002M04	29	38
2002M04	30	44
2002M04	31	-
2002M05	1	62
2002M05	2	59
2002M05	3	49
2002M05	4	48
2002M05	5	47
2002M05	6	54
2002M05	7	43
2002M05	8	54
2002M05	9	51
2002M05	10	44
2002M05	11	45
2002M05	12	47
2002M05	13	54
2002M05	14	61
2002M05	15	59
2002M05	16	25
2002M05	17	56
2002M05	18	42
2002M05	19	42
2002M05	20	66
2002M05	21	40
2002M05	22	53
2002M05	23	51
2002M05	24	47
2002M05	25	62
2002M05	26	56
2002M05	27	50
2002M05	28	44
2002M05	29	41
2002M05	30	54
2002M05	31	38
2002M06	1	56
2002M06	2	44
2002M06	3	52
2002M06	4	51
2002M06	5	60
2002M06	6	55
2002M06	7	62
2002M06	8	51
2002M06	9	48
2002M06	10	39
2002M06	11	58
2002M06	12	57
2002M06	13	41
2002M06	14	53
2002M06	15	60
2002M06	16	57
2002M06	17	61
2002M06	18	54
2002M06	19	46
2002M06	20	59
2002M06	21	65
2002M06	22	39
2002M06	23	66
2002M06	24	67
2002M06	25	57
2002M06	26	45
2002M06	27	56
2002M06	28	40
2002M06	29	55
2002M06	30	42
2002M06	31	-
2002M07	1	40
2002M07	2	46
2002M07	3	59
2002M07	4	54
2002M07	5	40
2002M07	6	42
2002M07	7	42
2002M07	8	52
2002M07	9	41
2002M07	10	52
2002M07	11	60
2002M07	12	53
2002M07	13	52
2002M07	14	39
2002M07	15	47
2002M07	16	48
2002M07	17	51
2002M07	18	47
2002M07	19	59
2002M07	20	38
2002M07	21	48
2002M07	22	53
2002M07	23	49
2002M07	24	41
2002M07	25	51
2002M07	26	31
2002M07	27	44
2002M07	28	38
2002M07	29	47
2002M07	30	51
2002M07	31	53
2002M08	1	62
2002M08	2	48
2002M08	3	39
2002M08	4	52
2002M08	5	57
2002M08	6	36
2002M08	7	52
2002M08	8	51
2002M08	9	39
2002M08	10	50
2002M08	11	46
2002M08	12	51
2002M08	13	29
2002M08	14	46
2002M08	15	43
2002M08	16	52
2002M08	17	49
2002M08	18	53
2002M08	19	54
2002M08	20	42
2002M08	21	37
2002M08	22	44
2002M08	23	50
2002M08	24	36
2002M08	25	49
2002M08	26	40
2002M08	27	43
2002M08	28	51
2002M08	29	57
2002M08	30	52
2002M08	31	55
2002M09	1	56
2002M09	2	37
2002M09	3	42
2002M09	4	57
2002M09	5	40
2002M09	6	51
2002M09	7	46
2002M09	8	57
2002M09	9	54
2002M09	10	48
2002M09	11	48
2002M09	12	43
2002M09	13	43
2002M09	14	45
2002M09	15	56
2002M09	16	52
2002M09	17	50
2002M09	18	57
2002M09	19	49
2002M09	20	56
2002M09	21	47
2002M09	22	50
2002M09	23	49
2002M09	24	52
2002M09	25	54
2002M09	26	53
2002M09	27	57
2002M09	28	68
2002M09	29	67
2002M09	30	58
2002M09	31	-
2002M10	1	46
2002M10	2	54
2002M10	3	58
2002M10	4	64
2002M10	5	43
2002M10	6	50
2002M10	7	55
2002M10	8	59
2002M10	9	59
2002M10	10	53
2002M10	11	47
2002M10	12	54
2002M10	13	56
2002M10	14	56
2002M10	15	59
2002M10	16	46
2002M10	17	52
2002M10	18	59
2002M10	19	53
2002M10	20	49
2002M10	21	45
2002M10	22	61
2002M10	23	54
2002M10	24	48
2002M10	25	47
2002M10	26	46
2002M10	27	45
2002M10	28	61
2002M10	29	58
2002M10	30	57
2002M10	31	67
2002M11	1	49
2002M11	2	50
2002M11	3	61
2002M11	4	55
2002M11	5	48
2002M11	6	52
2002M11	7	41
2002M11	8	66
2002M11	9	43
2002M11	10	49
2002M11	11	60
2002M11	12	50
2002M11	13	62
2002M11	14	61
2002M11	15	56
2002M11	16	41
2002M11	17	43
2002M11	18	54
2002M11	19	46
2002M11	20	56
2002M11	21	44
2002M11	22	50
2002M11	23	56
2002M11	24	33
2002M11	25	43
2002M11	26	43
2002M11	27	47
2002M11	28	53
2002M11	29	54
2002M11	30	38
2002M11	31	-
2002M12	1	49
2002M12	2	57
2002M12	3	45
2002M12	4	34
2002M12	5	49
2002M12	6	49
2002M12	7	57
2002M12	8	51
2002M12	9	48
2002M12	10	41
2002M12	11	58
2002M12	12	51
2002M12	13	58
2002M12	14	52
2002M12	15	54
2002M12	16	55
2002M12	17	54
2002M12	18	52
2002M12	19	48
2002M12	20	45
2002M12	21	65
2002M12	22	65
2002M12	23	49
2002M12	24	46
2002M12	25	54
2002M12	26	75
2002M12	27	53
2002M12	28	61
2002M12	29	49
2002M12	30	50
2002M12	31	47
2003M01	1	48
2003M01	2	68
2003M01	3	54
2003M01	4	53
2003M01	5	61
2003M01	6	53
2003M01	7	58
2003M01	8	56
2003M01	9	63
2003M01	10	64
2003M01	11	56
2003M01	12	66
2003M01	13	77
2003M01	14	54
2003M01	15	67
2003M01	16	68
2003M01	17	47
2003M01	18	61
2003M01	19	63
2003M01	20	39
2003M01	21	56
2003M01	22	57
2003M01	23	52
2003M01	24	58
2003M01	25	44
2003M01	26	54
2003M01	27	64
2003M01	28	50
2003M01	29	39
2003M01	30	56
2003M01	31	61
2003M02	1	45
2003M02	2	52
2003M02	3	65
2003M02	4	59
2003M02	5	50
2003M02	6	59
2003M02	7	45
2003M02	8	50
2003M02	9	59
2003M02	10	48
2003M02	11	55
2003M02	12	56
2003M02	13	62
2003M02	14	61
2003M02	15	69
2003M02	16	44
2003M02	17	68
2003M02	18	56
2003M02	19	62
2003M02	20	53
2003M02	21	59
2003M02	22	45
2003M02	23	62
2003M02	24	55
2003M02	25	50
2003M02	26	49
2003M02	27	72
2003M02	28	85
2003M02	29	-
2003M02	30	-
2003M02	31	-
2003M03	1	65
2003M03	2	49
2003M03	3	65
2003M03	4	65
2003M03	5	61
2003M03	6	66
2003M03	7	57
2003M03	8	52
2003M03	9	54
2003M03	10	54
2003M03	11	64
2003M03	12	59
2003M03	13	59
2003M03	14	59
2003M03	15	67
2003M03	16	65
2003M03	17	50
2003M03	18	70
2003M03	19	58
2003M03	20	62
2003M03	21	61
2003M03	22	53
2003M03	23	71
2003M03	24	60
2003M03	25	67
2003M03	26	71
2003M03	27	68
2003M03	28	65
2003M03	29	56
2003M03	30	60
2003M03	31	61
2003M04	1	61
2003M04	2	64
2003M04	3	53
2003M04	4	58
2003M04	5	66
2003M04	6	54
2003M04	7	60
2003M04	8	59
2003M04	9	65
2003M04	10	57
2003M04	11	60
2003M04	12	56
2003M04	13	43
2003M04	14	63
2003M04	15	70
2003M04	16	57
2003M04	17	62
2003M04	18	48
2003M04	19	58
2003M04	20	57
2003M04	21	42
2003M04	22	59
2003M04	23	59
2003M04	24	57
2003M04	25	61
2003M04	26	51
2003M04	27	54
2003M04	28	52
2003M04	29	47
2003M04	30	56
2003M04	31	-
2003M05	1	58
2003M05	2	56
2003M05	3	54
2003M05	4	51
2003M05	5	60
2003M05	6	57
2003M05	7	68
2003M05	8	58
2003M05	9	56
2003M05	10	51
2003M05	11	42
2003M05	12	42
2003M05	13	46
2003M05	14	43
2003M05	15	49
2003M05	16	42
2003M05	17	47
2003M05	18	44
2003M05	19	52
2003M05	20	39
2003M05	21	53
2003M05	22	38
2003M05	23	53
2003M05	24	53
2003M05	25	62
2003M05	26	52
2003M05	27	46
2003M05	28	40
2003M05	29	39
2003M05	30	48
2003M05	31	49
2003M06	1	37
2003M06	2	40
2003M06	3	44
2003M06	4	54
2003M06	5	56
2003M06	6	50
2003M06	7	51
2003M06	8	40
2003M06	9	45
2003M06	10	52
2003M06	11	46
2003M06	12	59
2003M06	13	53
2003M06	14	53
2003M06	15	55
2003M06	16	61
2003M06	17	50
2003M06	18	43
2003M06	19	50
2003M06	20	46
2003M06	21	49
2003M06	22	49
2003M06	23	41
2003M06	24	50
2003M06	25	56
2003M06	26	43
2003M06	27	42
2003M06	28	59
2003M06	29	43
2003M06	30	50
2003M06	31	-
2003M07	1	56
2003M07	2	27
2003M07	3	49
2003M07	4	49
2003M07	5	43
2003M07	6	49
2003M07	7	47
2003M07	8	42
2003M07	9	50
2003M07	10	51
2003M07	11	47
2003M07	12	54
2003M07	13	47
2003M07	14	54
2003M07	15	46
2003M07	16	67
2003M07	17	51
2003M07	18	50
2003M07	19	44
2003M07	20	49
2003M07	21	59
2003M07	22	53
2003M07	23	55
2003M07	24	42
